V1,bidenwins,trumpwins
Alabama,1320,8680
Alaska,2556,7444
Arizona,3711,6289
Arkansas,878,9122
California,9860,140
Colorado,7479,2521
Connecticut,8773,1227
Delaware,9032,968
District of Columbia,9880,120
Florida,2948,7052
Georgia,3371,6629
Hawaii,9188,812
Idaho,907,9093
Illinois,8920,1080
Indiana,1451,8549
Iowa,2572,7428
Kansas,1931,8069
Kentucky,1150,8850
Louisiana,1999,8001
Maine,5002,4998
Maryland,9858,142
Massachusetts,9970,30
Michigan,4425,5575
Minnesota,6015,3985
Mississippi,1730,8270
Missouri,1827,8173
Montana,1503,8497
Nebraska,1518,8482
Nevada,3299,6701
New Hampshire,7265,2735
New Jersey,7129,2871
New Mexico,7964,2036
New York,8973,1027
North Carolina,3507,6493
North Dakota,579,9421
Ohio,2496,7504
Oklahoma,951,9049
Oregon,9036,964
Pennsylvania,4509,5491
Rhode Island,9506,494
South Carolina,1993,8007
South Dakota,1020,8980
Tennessee,1033,8967
Texas,2943,7057
Utah,1407,8593
Vermont,9989,11
Virginia,6408,3592
Washington,8958,1042
West Virginia,734,9266
Wisconsin,4667,5333
Wyoming,450,9550
Election,6010,3990
